event_index,numero,distance,skewness,area_of_the_energy_parabola,energy_max,Impulsion
0,0,48.81039753705775,0.9021008046645704,2.3052070787232674e-09,8.826328880441373e-11,3.584997725261104e-12
1,1,536.0589549661717,3.490381728684086,8.315418220897893e-14,7.880927675700732e-16,1.6383062822676154e-18
10,10,6.713114336267443,2.2484868774499374,2.7907298325228087e-12,9.404596394604226e-14,2.5005957597577306e-15
11,11,5.755487205375801,3.6185461215515615,2.5832136772209545e-12,1.31487084111517e-13,1.0660064931605065e-15
2,2,17.706438612134626,3.960869808426998,9.127628076906109e-12,1.894703752334968e-13,5.681174403250167e-16
21,21,71.8558083991807,1.165883419343941,8.378114582845486e-11,2.53401484170798e-12,8.25021106331265e-14
22,22,6.338558874564575,0.9974017408012668,1.6472124781584931e-09,4.530507087205111e-11,5.549091294699802e-13
23,23,50.68000097637431,1.204048167183422,1.7842794571909438e-12,7.579696420064931e-14,1.7030099108558189e-15
24,24,18.18161655717009,1.547426921729012,7.215473392451019e-11,1.2537256275065825e-12,2.0953442321399935e-14
26,26,56.16851705097798,2.9078743436665286,1.1800904912149378e-13,5.3196956284959e-15,1.0106318684734864e-16
27,27,71.03478628398895,0.952709343576614,1.1330114454563036e-10,2.4887726334248632e-12,6.369858417970586e-14
28,28,46.94814284832026,1.2304157403352172,3.686198805142847e-11,1.26626148454235e-12,2.3946508418448022e-14
3,3,67.24607360705616,1.9686391245533568,2.845638407418828e-12,9.430728913801911e-14,1.1026159538011106e-15
32,32,15.753280920469653,0.38259600460456,1.1988952679641612e-11,4.772452110694076e-13,2.140163654788488e-14
33,33,87.52942092725412,4.013830980504761,1.5622598782969654e-13,1.526466579731141e-15,4.051742147901763e-18
36,36,12.03527266793596,-0.0239426088574036,1.5145735556000114e-06,4.226999954666512e-08,8.680568824994533e-10
37,37,15.002437637969912,1.563781249382146,1.784542356030243e-10,9.642234148406082e-12,1.990323522523617e-13
38,38,35.32501028979229,1.7814577221249648,2.044304097679785e-12,5.837214093337062e-14,1.138625838406951e-15
39,39,24.47873020467683,0.7304035008924726,4.56576574736748e-11,1.2705277068534205e-12,1.5241860625980553e-14
40,40,48.81039753705775,0.9390665314710804,5.896581133764936e-12,1.7822577883368389e-13,3.977716834323393e-15
41,41,10.939019253784036,0.718789241830951,1.6069197667982632e-10,3.969463755754284e-12,6.891128968130764e-14
42,42,69.66579433857272,0.7003385154605343,1.115867601601628e-10,2.0233885597137082e-12,1.7982153503955282e-14
43,43,374.1234855626473,0.502213882675878,4.486529579357456e-12,4.6012024916264345e-14,9.521368818161577e-16
44,44,87.52942092725412,4.043501734885147,2.014116049672591e-13,3.107274429746601e-15,1.0118256657267153e-17
46,46,28.39509627026777,1.0277618358854563,3.5563010611950405e-11,1.642552521015305e-12,4.2741203481671275e-14
47,47,65.4712195650786,2.955886792600539,7.661341967068626e-13,1.3624685092732438e-14,3.32871619111028e-17
48,48,13.722433101857618,5.24046162554848,1.5268410493179805e-12,4.077026720496517e-14,1.5415138245316787e-16
49,49,46.29233658345037,2.61113380117854,8.117564657488991e-12,1.830856392377128e-13,2.9778306910001005e-15
5,5,41.30901063049271,1.2989980895383446,8.572617005866212e-12,3.382746223875984e-13,6.651820837441124e-15
50,50,8.02712459816291,0.7739190967709904,4.0999017496394216e-10,2.0137279173612432e-11,7.662457001156933e-13
53,53,51.02335286912581,1.3045005574863904,3.5353671274720174e-11,1.1295004907276065e-12,2.4113759660608855e-14
57,57,41.331622923491686,0.3200228083567073,1.9887668819247175e-11,6.761800432124174e-13,1.6279149965139305e-14
6,6,156.3475108523247,4.555781017929718,1.1418378661442984e-11,6.072098764911197e-13,1.4347193717512537e-15
60,60,27.701041735397084,1.0741890995393253,1.215299202475733e-10,4.38022293504528e-12,9.843520584443616e-14
62,62,13.62326614267406,1.5068149150227883,1.9570209343580368e-09,5.870228141269344e-11,7.807765856668357e-13
67,67,13.62326614267406,0.1780553915749853,5.431246863522777e-09,1.4299310212442514e-10,3.892254600067967e-12
72,72,26.476790947195617,4.399477151579703,7.997292199873063e-11,4.060848826460525e-12,2.3880612831742093e-13
78,78,15.019977789948488,2.072884342562912,2.5297046594147504e-11,1.1359437155989498e-12,1.6515811093762914e-14
8,8,80.84173760387873,1.5028177053580545,3.1971690730965833e-11,9.695626016741221e-13,1.9798179846721052e-14
80,80,86.32450135395642,1.2192325990690245,5.779840651767928e-12,1.5912976810007034e-13,3.6858454565232066e-15
81,81,21.17416556830685,1.0339356101704031,1.2589031025759332e-11,5.658600680229815e-13,1.7036695197660195e-14
85,85,95.81345025290146,0.951128519537531,1.0275238288252329e-10,4.039710322731954e-12,2.466043715617547e-13
87,87,78.54479063173196,4.921089906740916,6.557938709420658e-10,2.636443476042469e-11,1.524966218693244e-12
9,9,63.49445548122539,2.1374352737368283,3.0683785985298447e-12,7.825894657322773e-14,2.292257564192312e-15
